,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
193,Honda Civic 1.8 V MT Sunroof,2013,Petrol,"92,000 kms",1799 CC,First Owner,Manual,14.8 kmpl,130.3 bhp,171.6Nm@ 4300rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Disc,9.6 Seconds,i-VTEC,4.35 Lakh*
194,Renault Lodgy Stepway 110PS RXZ 7S,2015,Diesel,"92,000 kms",1461 CC,First Owner,Manual,19.98 kmpl,108.5 bhp,245Nm@ 1750rpm,7,Black,6 Speed,FWD,Power,Ventilated Disc,Drum,12.31 Seconds,dCI Engine,4.99 Lakh*
195,Volkswagen Polo 2015-2019 1.5 TDI Highline,2016,Diesel,"45,000 kms",1498 CC,First Owner,Manual,20.14 kmpl,88 bhp,230Nm@ 1500-2500rpm,5,White,5 Speed,FWD,Power,Disc,Drum,16.1 Seconds,TDI Diesel Engine,6.25 Lakh*
196,Honda City V AT,2014,Petrol,"85,000 kms",1497 CC,First Owner,Automatic,15.6 kmpl,116.3 bhp,146Nm@ 4800rpm,5,Silver,5 Speed AT+ Paddle Shifters,FWD,Power,Disc,Drum,-,SOHC i-VTEC,6.33 Lakh*
197,Maruti Swift Dzire VXI,2014,Petrol,"60,000 kms",1197 CC,Second Owner,Manual,19.1 kmpl,85.8 bhp,114Nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,5.25 Lakh*
198,Maruti Ritz VXi,2010,Petrol,"62,000 kms",1197 CC,Second Owner,Manual,18.5 kmpl,85.80 bhp,114Nm@ 4000rpm,5,Maroon,5 Speed,FWD,Power,Ventilated Disc,Drum,15 Seconds,K Series Petrol Engine,2.6 Lakh*
199,Maruti Wagon R LXI,2000,Petrol,"82,000 kms",998 CC,Second Owner,Manual,18.9 kmpl,67.1 bhp,90Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,-,K Series Petrol Engine,"87,000*"
200,Mercedes-Benz CLS 250 CDI,2013,Diesel,"1,04,000 kms",2143 CC,Second Owner,Automatic,19.4 kmpl,204 bhp,500Nm@ 1600-1800rpm,4,Black,7 Speed,RWD,Power,Disc,Disc,7.5 Seconds,Diesel Engine,12.6 Lakh*
201,Hyundai i10 Sportz,2009,Petrol,"60,000 kms",1197 CC,Second Owner,Manual,20.36 kmpl,78.9 bhp,111.8Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,-,DOHC Kappa2 Engine,2.25 Lakh*
202,Toyota Innova 2.5 GX (Diesel) 7 Seater,2013,Diesel,"1,25,000 kms",2494 CC,Second Owner,Manual,12.99 kmpl,100.6 bhp,200Nm@ 1200-3600rpm,7,White,5 Speed,RWD,Power,Ventilated Disc,Drum,13.3 Seconds,2KD-FTV Diesel Engine,7.25 Lakh*
203,Mercedes-Benz E-Class All-Terrain E 220 d,2019,Diesel,"15,306 kms",1950 CC,First Owner,Automatic,12.6 kmpl,191.76 bhp,400NM@ 1600-2800rpm,5,Silver,9 Speed,RWD,Power,Ventilated Disc,Ventilated Disc,8.0 Seconds,V6 Diesel Engine,65 Lakh*
204,Chevrolet Spark 1.0 LT,2013,Petrol,"54,500 kms",995 CC,First Owner,Manual,16.2 kmpl,62.1 bhp,90.3Nm@ 4200rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,-,SMARTECH Petrol Engine,1.55 Lakh*
205,Maruti Baleno Alpha 1.3,2016,Diesel,"1,55,000 kms",1248 CC,First Owner,Manual,27.39 kmpl,74 bhp,190Nm@ 2000rpm,5,White,5 Speed,FWD,Power,Disc,Drum,12.93 seconds,DDiS Diesel Engine,5.75 Lakh*
206,Hyundai Venue SX Plus Turbo DCT,2019,Petrol,"12,993 kms",998 CC,First Owner,Automatic,18.15 kmpl,118.35 bhp,172Nm@ 1500-4000rpm,5,Grey,7-Speed DCT,FWD,Electric,Disc,Drum,-,Kappa 1.0 L Turbo GDi Petrol,11.9 Lakh*
207,Ford Endeavour 3.2 Titanium AT 4X4,2017,Diesel,"20,094 kms",3198 CC,First Owner,Automatic,10.91 kmpl,197 bhp,470Nm@ 1750-2500rpm,7,Maroon,6 Speed,4WD,Power,Disc,Disc,10.86 Seconds,Diesel Engine,28.5 Lakh*
208,Tata Nano XT,2016,Petrol,"42,777 kms",624 CC,First Owner,Manual,23.9 kmpl,37.48 bhp,51Nm@ 4000rpm,4,Red,4 Speed,RWD,Power,Drum,Drum,12.6 Seconds,Petrol Engine,2.45 Lakh*
209,Ford Figo Diesel Titanium,2013,Diesel,"71,000 kms",1399 CC,Second Owner,Manual,20.0 kmpl,68.05 bhp,160Nm@ 2000rpm,5,Black,5 Speed,FWD,Power,Ventilated Discs,Drum,-,Duratorq Diesel Engine,2.95 Lakh*
210,Maruti Celerio VXI AT,2015,Petrol,"40,500 kms",998 CC,First Owner,Automatic,23.1 kmpl,67.04 bhp,90Nm@ 3500rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,15.05 Seconds,K10B Engine,3.93 Lakh*
211,Nissan Micra XL,2011,Petrol,"61,000 kms",1198 CC,First Owner,Manual,18.44 kmpl,75 bhp,104Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Ventilated Disc,Drum,14 Seconds,In Line Petrol Engine,2.35 Lakh*
212,Hyundai EON Sportz,2012,Petrol,"64,200 kms",814 CC,Second Owner,Manual,21.1 kmpl,55.2 bhp,74.5Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,19 Seconds,Petrol Engine,2.35 Lakh*
213,Maruti Swift VVT VXI,2015,Petrol,"26,000 kms",1197 CC,First Owner,Manual,22.0 kmpl,81.80 bhp,113Nm@ 4200rpm,5,Red,5,-,Power,Disc,Drum,-,VTVT Engine,5.1 Lakh*
