,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
198,Audi A3 35 TDI Premium Plus,2015,Diesel,"60,000 kms",1968 CC,Second Owner,Automatic,20.38 kmpl,143 bhp,320Nm@ 1750-3000rpm,5,Maroon,5 Speed,FWD,Power,Ventilated Disc,Disc,8.6 Seconds,TDI Diesel Engine,15 Lakh*
199,Maruti Ciaz Alpha Diesel,2018,Diesel,"96,000 kms",1248 CC,First Owner,Manual,28.09 kmpl,88.50 bhp,200Nm@ 1750rpm,5,White,8 Speed,FWD,Power,Ventilated Disc,Drum,-,DDIS Diesel Engine,7.75 Lakh*
200,Audi A4 35 TDI Premium,2015,Diesel,"63,000 kms",1968 CC,First Owner,Automatic,17.11 kmpl,174.33 bhp,380Nm@ 1750-2500rpm,5,White,7 Speed,FWD,Power,Ventilated Disc,Disc,7.9 Seconds,TDI Diesel Engine,18 Lakh*
201,Mercedes-Benz E-Class E250 CDI Elegance,2011,Diesel,"1,16,000 kms",2143 CC,Second Owner,Automatic,14.21 kmpl,203 bhp,500Nm@ 1600-1800rpm,5,Black,7 Speed,Rear Wheel Drive with ESP,Power,Ventilated Disc,Ventilated Disc,7.5 Seconds,4-in-line,10.5 Lakh*
202,Mahindra Thar CRDe ABS,2017,Diesel,"48,000 kms",2498 CC,First Owner,Manual,16.55 kmpl,105 bhp,247Nm@ 1800-2000rpm,6,Red,5 Speed,4WD,Power,Disc,Drum,-,NEF TCI-CRDe Engine,8.25 Lakh*
203,Audi A6 2.0 TDI,2013,Diesel,"71,000 kms",1968 CC,First Owner,Automatic,17.68 kmpl,174.33 bhp,380Nm@ 1750-2500rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,8.2 Seconds,TDI Diesel Engine,16.9 Lakh*
204,Volkswagen Vento 1.5 TDI Highline AT,2016,Diesel,"86,000 kms",1498 CC,First Owner,Automatic,22.15 kmpl,108.6 bhp,250Nm@ 1500-3000rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,11.07 Seconds,TDI Diesel Engine,6.9 Lakh*
205,Mercedes-Benz C-Class 220 CDI AT,2011,Diesel,"70,800 kms",2143 CC,First Owner,Automatic,14.84 kmpl,170 bhp,400Nm@ 1400-2800rpm,5,White,Six Speed Manual Transmission,RWD,Power,Ventilated Disc,Solid Disc,8.5 seconds,CDI Blue Efficiency Engin,12.5 Lakh*
206,Hyundai i20 Magna Plus,2020,Petrol,"33,000 kms",1197 CC,First Owner,Manual,18.6 kmpl,81.86 bhp,117nm@ 4000rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,13.2 Seconds,Kappa VTVT Petrol Engine,6.75 Lakh*
207,Mahindra TUV 300 T10,2019,Diesel,"70,000 kms",1493 CC,First Owner,Manual,18.49 kmpl,100 bhp,240Nm@ 1600-2800rpm,7,White,5 Speed,RWD,Power,Disc,Drum,13.9 Seconds,mHawk 100 Diesel Engine,8.75 Lakh*
208,Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,2016,Diesel,"1,03,000 kms",2393 CC,First Owner,Manual,13.68 kmpl,147.8 bhp,343Nm@ 1400-2800rpm,7,Golden,5 Speed,RWD,Power,Disc,Drum,-,2-GD FTV Engine,14 Lakh*
209,Volkswagen Passat 1.8 TSI MT,2010,Petrol,"65,324 kms",1798 CC,First Owner,Manual,14.3 kmpl,160 bhp,250Nm@ 1500~4500rpm,5,Grey,6-Speed DCT,Two Wheel Drive,Power,Disc,Disc,8.6,TSI,5.25 Lakh*
210,Hyundai Santro Xing GLS,2008,Petrol,"55,000 kms",1086 CC,Second Owner,Manual,17.92 kmpl,62.1 bhp,96.1Nm@ 3000rpm,5,Maroon,5 Speed,FWD,Power,Ventilated Disc,Drum,-,Petrol Engine,1.75 Lakh*
211,Toyota Fortuner 4x2 AT,2014,Diesel,"1,01,835 kms",2982 CC,First Owner,Automatic,12.55 kmpl,168.5 bhp,360Nm@ 1400-3200rpm,7,Silver,8 Speed,FWD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,14 Lakh*
212,Mercedes-Benz E-Class E250 CDI Avantgarde,2014,Diesel,"49,000 kms",2143 CC,Second Owner,Automatic,14.21 kmpl,203 bhp,500Nm@ 1600-1800rpm,5,Cherry Red,6 Speed,Rear Wheel Drive with ESP,Power,Ventilated Disc,Ventilated Disc,7.5 Seconds,4-in-line,18.5 Lakh*
213,MG Hector Sharp DCT,2021,Petrol,"16,000 kms",1451 CC,First Owner,Automatic,0.0 kmpl,141 bhp,250Nm@ 1600-3600rpm,5,White,6 Speed,FWD,Power,Disc,Disc,-,1.5 L Turbocharged Intercooled,18.75 Lakh*
214,Maruti Swift Dzire Tour 2012-2018 LDI,2018,Diesel,"75,000 kms",1248 CC,First Owner,Manual,23.4 kmpl,74 bhp,190Nm@ 2000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,14.85 Seconds,DDiS Diesel Engine,4.75 Lakh*
215,Volvo XC60 D4 SUMMUM,2014,Diesel,"1,14,000 kms",1984 CC,First Owner,Automatic,14.7 kmpl,181 bhp,400Nm@ 1500-2750rpm,5,White,5 Speed,FWD,Power,Disc,Disc,-,Turbo Diesel Engine,16.35 Lakh*
216,Mahindra XUV500 AT W8 FWD,2015,Diesel,"77,708 kms",2179 CC,Second Owner,Automatic,16.0 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,Black,5 Speed,FWD,Power,Disc,Disc,10 Seconds,mHawk Diesel Engine,8 Lakh*
217,BMW 5 Series 520d,2012,Diesel,"68,000 kms",1995 CC,First Owner,Automatic,18.48 kmpl,177 bhp,"35.7@ 1,750-3,000(kgm@ rpm)",5,Maroon,6 Speed,-,Power,Ventilated discs,Ventilated discs,8.3 seconds,In-Line Engine,14.95 Lakh*
218,Maruti Eeco 5 STR With AC Plus HTR CNG,2012,CNG,"80,000 kms",1196 CC,Fourth & Above Owner,Manual,15.1 km/kg,73 bhp,101Nm@ 3000rpm,5,White,6 Speed,RWD,Power,Ventilated Disc,Drum,-,In-Line Engine,2.3 Lakh*
219,Volkswagen Polo 2015-2019 1.2 MPI Highline,2015,Petrol,"33,000 kms",1199 CC,First Owner,Manual,16.2 kmpl,74 bhp,110Nm@ 3000-4300rpm,5,White,5 Speed,FWD,Power,Disc,Drum,14.2 Seconds,MPI Petrol Engine,4.61 Lakh*
