,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
411,Renault KWID RXT,2018,Petrol,"14,653 kms",799 CC,First Owner,Manual,25.17 kmpl,53.3 bhp,72Nm@ 4386rpm,5,BRONZE,5 Speed,FWD,Power,Disc,Drum,16 Seconds,Petrol Engine,4 Lakh*
412,Maruti Swift VXI with ABS,2010,Petrol,"58,425 kms",1197 CC,First Owner,Manual,16.6 kmpl,85 bhp,"113Nm@ 4,500rpm",5,Black,5 Speed,-,Power,Ventilated Disc,Drum,12.29 seconds,In-Line Engine,3.35 Lakh*
413,Toyota Fortuner 4x4 MT,2013,Diesel,"50,000 kms",2982 CC,First Owner,Manual,12.55 kmpl,168.5 bhp,343Nm@ 1400-3400rpm,7,Grey,5 Speed,4WD,Power,Ventilated Disc,Drum,9.6 Seconds,D-4D Diesel Engine,16.5 Lakh*
414,Maruti Wagon R VXI,2009,Petrol,"60,243 kms",998 CC,Second Owner,Manual,21.79 kmpl,67.05 bhp,90Nm@ 3500rpm,5,Black,5 Speed,FWD,Power,Disc,Drum,18.6 Seconds,K10B Petrol Engine,2.15 Lakh*
415,Honda City i-VTEC VX,2019,Petrol,"9,000 kms",1497 CC,First Owner,Manual,17.4 kmpl,117.6 bhp,145Nm@ 4600rpm,5,Golden Brown,5 Speed,FWD,Power,Ventilated Disc,Drum,9.64 Seconds,i VTEC Engine,11.65 Lakh*
416,Maruti Baleno Zeta 1.2,2018,Petrol,"62,126 kms",1197 CC,First Owner,Manual,21.4 kmpl,83.1 bhp,115Nm@ 4000rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,12.36 seconds,VVT Petrol Engine,6.8 Lakh*
417,Maruti Swift Dzire Tour LXI,2015,Petrol,"29,263 kms",1197 CC,First Owner,Manual,19.0 kmpl,85.8 bhp,114Nm@ 4000rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,5.4 Lakh*
418,Hyundai Grand i10 1.2 Kappa Asta,2015,Petrol,"72,120 kms",1197 CC,First Owner,Manual,18.9 kmpl,81.86 bhp,113.75nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,4 Lakh*
419,Ford EcoSport 1.5 TDCi Titanium BSIV,2014,Diesel,"79,999 kms",1498 CC,First Owner,Manual,22.77 kmpl,98.59 bhp,205Nm@ 1750-3250rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,13.5 Seconds,TDCi Diesel Engine,5 Lakh*
420,Maruti Swift Dzire LXI 1.2,2018,Petrol,"67,985 kms",1197 CC,First Owner,Manual,21.21 kmpl,81.80 bhp,113Nm@ 4200rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,12.6 Seconds,K Series VVT Engine,5.3 Lakh*
421,Ford Fiesta 1.6 ZXi ABS,2009,Petrol,"1,46,200 kms",1596 CC,First Owner,Manual,15.3 kmpl,101 bhp,"14.9@ 3,400(kgm@ rpm)",5,PLATINUM SILVER,5 Speed,FWD,Power,Ventilated Disc,Self-Adjusting Drum,11.7 seconds,In-Line Engine,1.7 Lakh*
422,Honda City SV MT,2016,Petrol,"1,21,517 kms",1497 CC,First Owner,Manual,17.4 kmpl,117.60 bhp,145Nm@ 4600rpm,5,White,5 Speed,FWD,Electric,Ventilated Disc,Drum,9.64 Seconds,i VTEC Engine,5.8 Lakh*
423,Hyundai Grand i10 Sportz,2015,Petrol,"83,664 kms",1197 CC,First Owner,Manual,18.9 kmpl,82 bhp,114Nm@ 4000rpm,5,Orange,5 Speed,FWD,Power,Disc,Drum,12.9 Seconds,Kappa VTVT Petrol Engine,3.9 Lakh*
424,Ford EcoSport 1.5 TDCi Titanium BSIV,2014,Diesel,"79,999 kms",1498 CC,First Owner,Manual,22.77 kmpl,98.59 bhp,205Nm@ 1750-3250rpm,5,Grey,5 Speed,FWD,Power,Ventilated Disc,Drum,13.5 Seconds,TDCi Diesel Engine,5 Lakh*
425,Maruti Swift Dzire LXI 1.2,2018,Petrol,"67,985 kms",1197 CC,First Owner,Manual,21.21 kmpl,81.80 bhp,113Nm@ 4200rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,12.6 Seconds,K Series VVT Engine,5.3 Lakh*
426,Ford Fiesta 1.6 ZXi ABS,2009,Petrol,"1,46,200 kms",1596 CC,First Owner,Manual,15.3 kmpl,101 bhp,"14.9@ 3,400(kgm@ rpm)",5,PLATINUM SILVER,5 Speed,FWD,Power,Ventilated Disc,Self-Adjusting Drum,11.7 seconds,In-Line Engine,1.7 Lakh*
