,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
389,Ford Figo Diesel Titanium,2010,Diesel,"63,908 kms",1399 CC,First Owner,Manual,18.9 kmpl,67 bhp,84Nm@ 3500rpm,5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,-,FC Petrol Engine,1.47 Lakh*
390,Maruti Wagon R LXI Minor,2008,Petrol,"79,823 kms",1061 CC,Second Owner,Manual,22.74 kmpl,47.3 bhp,69Nm@ 3500rpm,5,White,5 Speed,FWD,Manual,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,"96,300*"
391,Maruti Alto 800 Base,2013,Petrol,"48,118 kms",796 CC,First Owner,Manual,17.8 kmpl,68 bhp,"16.3@ 2,000(kgm@ rpm)",5,Silver,5 Speed,FWD,Power,Ventilated Disc,Self-Adjusting Drum,17.6 seconds,In-Line Engine,1.45 Lakh*
392,Ford Fiesta 1.4 ZXi TDCi ABS,2010,Diesel,"82,596 kms",1399 CC,First Owner,Manual,19.81 kmpl,68.05 bhp,99.04Nm@ 4500rpm,5,Blue,5 Speed,FWD,Power,Ventilated Disc,Drum,14.3 Seconds,IRDE2 Engine,1.51 Lakh*
393,Hyundai i10 Magna 1.1,2008,Petrol,"84,672 kms",1086 CC,Third Owner,Manual,20.51 kmpl,67.04 bhp,90Nm@ 3500rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,18.6 Seconds,K10B Petrol Engine,1.23 Lakh*
394,Maruti Wagon R VXI,2013,Petrol,"44,740 kms",998 CC,First Owner,Manual,25.44 kmpl,57.6 bhp,150Nm@ 1750rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,-,Smartech Engine,2.89 Lakh*
395,Chevrolet Beat Diesel LS,2012,Diesel,"75,438 kms",936 CC,First Owner,Manual,25.44 kmpl,57.6 bhp,150Nm@ 1750rpm,5,Grey,5 Speed,FWD,Power,Disc,Drum,-,Smartech Engine,1.01 Lakh*
396,Chevrolet Beat Diesel PS,2013,Diesel,"58,849 kms",936 CC,Second Owner,Manual,22.74 kmpl,47.3 bhp,69Nm@ 3500rpm,5,Grey,5 Speed,FWD,Power,Solid Disc,Drum,19 Seconds,F8D Petrol Engine,1.41 Lakh*
397,Maruti Alto 800 LXI,2013,Petrol,"68,761 kms",796 CC,First Owner,Manual,23.08 kmpl,63.1 bhp,160Nm@ 2000rpm,5,Black,5 Speed Manual,Two Whhel Drive,Power,Ventilated Disc,Drum,-,In-Line Diesel Engine,2.04 Lakh*
398,Nissan Micra Diesel XV,2011,Diesel,"1,33,195 kms",1461 CC,First Owner,Manual,20.85 kmpl,83.14 bhp,115Nm@ 4000rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,12.6 Seconds,K Series VVT Engine,1.08 Lakh*
399,Maruti Swift Dzire VXI,2015,Petrol,"65,160 kms",1197 CC,First Owner,Manual,15.6 kmpl,70 bhp,102Nm@ 4000rpm,5,Sea Grey,5 Speed,Front Wheel Drive,Power,Ventilated Disc,Drum,14.8 Seconds,Petrol Engine,4.63 Lakh*
400,Ford Figo Petrol EXI,2011,Petrol,"93,847 kms",1196 CC,First Owner,Manual,20.5 kmpl,103.5 bhp,250Nm@ 1500-2500rpm,5,White,5 Speed,FWD,Power,Disc,Drum,-,Turbocharged Diesel Engin,1.13 Lakh*
401,Skoda Rapid Ultima 1.6 TDI Ambition Plus,2011,Diesel,"1,13,155 kms",1598 CC,Second Owner,Manual,23.0 kmpl,90 bhp,22.4 kgm at 1750-2750rpm,5,White,6-Speed,-,Power,Disc,Disc,-,Diesel,2.78 Lakh*
402,Hyundai i20 1.4 CRDi Asta,2012,Diesel,"1,22,320 kms",1396 CC,First Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,White,6 Speed,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,3.12 Lakh*
403,Renault Duster 110PS Diesel RxZ,2012,Diesel,"78,943 kms",1461 CC,Second Owner,Manual,19.01 kmpl,108.45 bhp,248Nm@ 2250rpm,5,Brown,6 Speed,FWD,Power,Ventilated Disc,Drum,-,dCi Diesel Engine,3.84 Lakh*
404,Renault Duster 110PS Diesel RxZ,2012,Diesel,"60,753 kms",1461 CC,First Owner,Manual,15.1 kmpl,140 bhp,330Nm@ 1600-2800rpm,7,P White,6 Speed,FWD,Power,Disc & Caliper Type,Disc & Caliper Type,12.5 Seconds,mHawk Diesel Engine,4.23 Lakh*
405,Mahindra XUV500 W8 2WD,2012,Diesel,"1,10,201 kms",2179 CC,First Owner,Manual,22.9 kmpl,74 bhp,190Nm@ 2000rpm,5,S Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,14.8 Seconds,DDiS Diesel Engine,5.63 Lakh*
406,Maruti Swift LDI,2013,Diesel,"61,162 kms",1248 CC,First Owner,Manual,19.7 kmpl,46.3 bhp,62Nm@ 3000rpm,5,E beige,5 Speed,FWD,Power,Disc,Drum,17.7 seconds,In-Line Engine,3.42 Lakh*
